math_score,science_score,english_score,assignment_score,attendance_percentage,study_hours_per_week,previous_gpa,participation_level,performance_category
73,63,40,66,64,7,7.52,Medium,Medium
37,46,39,93,77,15,8.98,Low,Medium
76,66,44,92,73,21,8.7,Medium,Medium
64,54,46,81,57,36,8.23,Low,Low
65,56,69,98,92,8,5.78,High,Medium
79,86,47,86,58,8,7.74,High,Low
33,60,84,69,96,21,5.44,Medium,Medium
31,35,54,80,82,23,6.89,Medium,Medium
35,69,88,73,82,9,7.07,Low,Medium
83,41,51,76,68,36,5.2,Medium,Medium
33,82,59,45,52,26,6.37,Low,Low
83,39,73,46,59,10,9.78,Medium,Low
92,74,61,71,89,39,9.77,Medium,Medium
47,46,80,71,96,26,6.76,Medium,Medium
73,55,75,92,91,5,5.22,High,Medium
63,91,50,64,50,24,5.9,High,Low
91,75,61,72,78,26,6.96,Low,Medium
43,93,68,94,99,15,9.74,Medium,Medium
77,31,41,97,83,17,5.71,Low,Medium
44,83,76,46,62,7,8.82,Medium,Medium
91,94,47,91,50,13,5.54,High,Low
69,80,50,96,83,16,9.91,High,Medium
82,82,42,51,78,27,6.91,Medium,Medium
53,65,50,55,97,18,8.88,Medium,Medium
55,55,37,55,96,37,6.71,High,Medium
89,58,75,82,62,22,8.14,High,High
70,50,36,92,97,13,5.96,Low,Medium
58,40,52,75,98,27,5.73,High,Medium
44,69,51,52,78,14,9.69,Medium,Medium
74,40,51,46,88,23,9.59,Low,Medium
94,65,58,75,73,9,9.44,Medium,Medium
38,88,42,86,75,27,8.13,Low,Medium
30,68,31,90,66,34,9.04,Medium,Medium
37,83,58,48,56,29,5.35,High,Low
92,84,81,71,62,32,6.67,Medium,High
40,53,56,50,54,38,6.57,Low,Low
37,51,79,47,75,29,8.18,Medium,Medium
64,98,52,72,98,14,6.78,Low,Medium
64,85,73,62,52,18,5.74,Medium,Low
62,62,51,64,56,34,7.98,High,Low
34,65,72,95,98,29,9.07,High,Medium
70,49,66,47,88,18,6.91,Medium,Medium
57,91,90,84,50,39,5.66,Medium,Low
36,55,85,61,98,38,5.98,Medium,Medium
41,95,32,98,66,14,6.19,Low,Medium
63,69,92,43,92,39,6.5,Medium,Medium
62,46,48,79,74,15,8.21,Medium,Medium
77,30,52,42,52,15,8.0,Low,Low
52,90,58,68,64,25,8.48,High,Medium
91,72,59,80,78,25,6.81,Medium,High
66,71,68,68,92,26,9.12,Medium,Medium
73,54,54,73,81,11,6.02,High,Medium
64,68,37,73,75,21,7.35,High,Medium
94,64,87,67,65,6,9.0,Low,High
76,32,45,52,74,16,5.9,Medium,Medium
32,73,30,54,77,22,5.55,Medium,Low
30,80,34,99,58,15,9.42,Low,Low
34,41,32,62,50,20,6.71,High,Low
43,48,94,83,78,22,8.42,Low,Medium
56,73,33,65,71,39,5.13,High,Medium
38,88,93,43,65,30,8.45,Low,Medium
44,78,39,65,90,20,6.58,High,Medium
71,90,50,79,93,10,5.28,Low,Medium
80,46,75,48,90,16,8.05,High,Medium
92,86,56,94,56,17,6.2,High,Low
81,84,95,44,63,8,6.93,High,High
33,76,70,95,78,6,5.4,High,Medium
52,41,42,71,68,30,5.74,High,Medium
44,91,38,59,68,31,6.49,Medium,Medium
72,37,65,89,51,31,5.45,High,Low
58,50,87,50,90,19,9.55,Medium,Medium
65,99,83,54,94,12,5.03,High,High
42,54,41,71,64,11,7.42,Medium,Medium
61,41,43,67,52,16,5.62,Medium,Low
88,44,63,61,60,17,6.54,Low,Medium
57,88,82,80,95,21,9.63,High,High
95,55,49,56,79,21,5.81,Low,Medium
71,55,45,98,89,25,9.83,Low,Medium
74,76,99,65,67,12,6.03,High,High
91,61,85,83,97,9,8.71,Low,High
86,39,87,46,51,30,7.73,High,Low
35,45,33,81,81,20,9.42,Low,Low
57,46,33,96,57,32,7.77,High,Low
57,52,49,65,71,33,7.67,High,Medium
73,55,39,64,55,16,5.98,High,Low
59,36,53,49,61,34,5.83,Medium,Low
91,43,55,98,96,27,9.58,Low,Medium
91,36,66,84,89,20,6.64,Medium,Medium
30,38,83,58,85,18,6.86,Low,Medium
56,77,50,50,64,14,8.8,Low,Medium
91,88,67,52,77,11,6.69,Low,Medium
32,68,75,92,98,33,9.76,Medium,Medium
99,47,33,47,94,7,8.69,Low,Medium
56,88,89,79,67,19,7.99,Medium,High
38,46,86,43,51,23,9.4,High,Low
91,43,74,86,62,17,5.25,Low,Medium
66,60,49,70,94,25,6.29,Low,Medium
80,53,46,67,64,31,7.33,High,Medium
73,89,33,50,69,33,6.13,High,Medium
53,74,43,82,78,24,8.72,Low,Medium
88,32,32,40,91,29,9.6,High,Low
61,66,87,88,78,10,7.12,Medium,High
81,72,84,86,52,6,6.71,Medium,Low
91,69,33,91,68,26,9.81,Low,Medium
87,84,53,77,52,36,7.22,Medium,Low
81,68,63,63,63,20,7.45,Medium,Medium
41,44,59,93,89,22,6.76,Low,Medium
68,33,48,99,53,9,9.55,High,Low
31,54,60,96,60,34,7.84,Low,Medium
32,42,89,86,80,23,8.81,Medium,Medium
85,62,89,70,92,27,9.06,Low,High
88,45,48,80,81,38,6.71,Low,Medium
31,71,78,85,76,17,7.17,Medium,Medium
31,95,92,89,79,33,9.24,Medium,High
83,84,51,65,92,26,6.82,Low,Medium
30,71,53,88,51,13,8.97,Medium,Low
48,63,59,89,98,23,9.7,Medium,Medium
31,59,87,44,58,10,8.12,Medium,Low
82,42,60,59,77,19,8.71,Medium,Medium
73,42,93,91,80,24,9.03,Medium,Medium
61,47,48,80,83,13,9.23,Medium,Medium
99,61,77,50,64,36,6.98,High,Medium
61,68,74,95,97,8,5.26,Low,Medium
97,75,84,93,74,22,7.01,Medium,High
84,58,84,72,85,9,8.37,Low,Medium
85,91,47,89,57,24,7.25,High,Low
46,91,92,77,58,27,8.74,Medium,Low
67,86,76,66,86,15,6.78,Low,Medium
53,45,86,73,97,26,8.17,Medium,Medium
98,85,74,54,94,8,5.93,Medium,High
99,39,62,71,88,33,8.75,Medium,Medium
40,59,46,97,81,38,7.73,Medium,Medium
45,54,99,60,66,17,6.02,Medium,Medium
88,34,33,85,84,13,6.46,Medium,Medium
99,94,49,44,86,35,8.74,Medium,Medium
32,78,76,45,68,11,7.41,High,Medium
49,32,44,77,93,8,6.08,High,Medium
88,74,99,61,78,23,9.84,Medium,High
65,43,76,57,56,34,8.58,Medium,Low
48,59,38,53,77,35,9.79,High,Low
96,97,45,49,58,39,7.14,High,Low
48,47,98,85,77,25,7.38,High,Medium
49,91,90,52,55,35,9.49,Medium,Low
81,66,39,70,78,23,7.63,Low,Medium
62,54,79,69,66,35,8.54,Low,Medium
69,77,32,42,65,36,6.26,Low,Medium
68,94,99,69,72,6,7.23,Low,High
30,82,80,45,80,14,5.62,Medium,Medium
40,44,48,68,52,6,6.03,Low,Low
86,78,71,47,70,6,5.0,High,Medium
79,97,64,83,75,28,5.2,High,High
52,41,75,84,85,21,9.89,Low,Medium
60,88,55,82,91,36,6.21,High,Medium
71,66,98,83,86,20,8.32,Medium,High
36,90,93,72,71,20,9.2,Low,Medium
45,72,66,56,91,35,7.75,Low,Medium
89,99,78,87,61,28,5.77,Medium,High
31,68,50,50,91,5,8.64,High,Low
30,85,93,52,62,15,8.0,Medium,Medium
77,92,34,89,60,25,8.66,Medium,Medium
41,75,99,50,65,8,8.85,High,Medium
98,40,33,70,57,11,9.88,Medium,Low
66,91,68,67,89,30,7.87,High,Medium
61,54,64,83,89,16,6.71,High,Medium
38,81,30,45,94,35,8.24,Medium,Low
48,33,53,80,51,21,5.34,High,Low
77,88,86,55,79,37,9.49,Medium,High
32,49,99,43,79,15,5.6,High,Medium
49,92,70,74,61,32,6.64,Low,Medium
53,83,83,99,59,36,9.08,High,Low
83,86,75,87,93,5,7.99,High,High
62,70,89,95,60,32,6.97,Medium,High
53,32,89,98,64,11,7.37,High,Medium
65,35,86,65,65,6,9.27,Low,Medium
67,34,60,96,66,28,6.7,Low,Medium
54,34,53,51,75,8,9.35,High,Low
47,83,65,50,51,23,5.44,High,Low
95,76,59,76,99,30,8.88,Low,High
83,78,53,64,61,15,9.24,Medium,Medium
64,38,59,57,75,15,5.91,Low,Medium
90,49,36,58,72,7,7.15,Low,Medium
70,90,64,62,67,16,5.83,High,Medium
62,64,84,94,81,7,8.53,High,High
97,79,43,77,98,31,7.68,Low,Medium
62,91,39,93,87,6,8.18,Medium,Medium
43,46,45,57,96,20,5.98,Low,Low
50,32,83,65,52,6,6.06,Low,Low
77,61,99,45,87,34,5.21,Medium,Medium
49,42,73,43,52,24,6.61,Low,Low
37,97,74,83,79,32,7.8,Low,Medium
36,43,85,90,50,29,9.29,High,Low
96,40,86,68,79,36,8.33,Medium,Medium
46,85,50,98,94,14,7.18,High,Medium
62,96,97,73,81,37,9.77,High,High
77,58,79,56,77,17,8.6,Medium,Medium
88,38,62,82,70,20,9.65,Medium,Medium
51,96,36,82,95,26,7.64,Low,Medium
59,54,99,92,62,24,6.29,High,High
67,71,44,55,76,31,5.26,Medium,Medium
80,38,61,41,85,20,8.63,High,Medium
83,69,49,73,56,38,5.61,High,Low
37,54,44,94,71,36,6.51,Medium,Medium
56,34,77,47,59,30,7.66,Low,Low
56,40,50,52,88,29,7.82,High,Low
50,88,71,81,64,6,8.0,Medium,Medium
59,67,55,47,64,16,5.83,Low,Medium
57,34,43,69,53,13,6.9,High,Low
93,77,86,71,81,16,8.09,Medium,High
98,47,66,75,72,30,9.85,High,Medium
90,99,87,86,55,13,8.64,Medium,Low
77,66,50,69,73,14,9.61,Medium,Medium
48,89,98,40,69,36,8.81,High,Medium
33,77,32,82,86,38,7.96,High,Medium
64,57,66,78,69,24,5.96,Medium,Medium
93,98,78,56,61,6,8.33,Low,High
78,69,48,98,82,5,8.12,High,Medium
46,74,41,59,77,28,8.01,Medium,Medium
73,91,90,63,57,31,7.45,Medium,Low
59,87,70,89,50,6,7.64,Low,Low
75,96,62,61,86,35,6.67,Low,Medium
35,85,79,68,71,18,7.6,Low,Medium
66,69,97,61,55,6,5.99,High,Low
53,69,62,83,70,33,9.03,Medium,Medium
75,62,53,48,81,19,5.93,Medium,Medium
82,35,90,76,84,16,5.42,Medium,Medium
89,48,90,49,64,32,7.18,Low,Medium
92,69,57,75,54,24,8.29,Medium,Low
61,88,87,76,95,28,7.19,High,High
62,88,72,67,99,25,6.38,Low,Medium
96,77,70,67,97,14,7.79,Low,High
47,70,68,81,55,18,6.74,Low,Low
54,42,78,82,74,22,9.66,Low,Medium
83,74,46,60,95,28,9.61,High,Medium
87,82,99,63,89,18,7.51,Medium,High
96,71,99,81,78,38,6.64,High,High
75,92,94,99,56,16,8.69,Medium,Low
53,56,34,79,89,26,5.18,High,Medium
61,67,31,41,62,10,7.37,Low,Medium
76,89,51,94,87,26,6.68,Low,High
52,36,86,47,67,18,9.6,High,Medium
95,34,95,87,51,20,5.06,High,Low
56,74,45,66,57,29,7.76,Medium,Low
31,87,80,61,60,36,8.7,High,Medium
46,60,68,76,82,37,7.43,High,Medium
62,52,69,66,87,24,5.43,Medium,Medium
38,71,67,96,97,22,9.86,Medium,Medium
72,39,89,68,76,7,7.59,Medium,Medium
77,61,88,42,69,27,8.07,High,Medium
68,82,39,83,61,36,6.18,Medium,Medium
71,59,93,52,92,20,7.42,Low,Medium
55,68,92,84,80,9,7.15,Low,Medium
79,60,78,49,76,8,5.37,Low,Medium
54,31,93,75,81,25,5.53,High,Medium
53,41,61,48,59,18,9.19,Low,Low
42,68,36,93,52,35,6.2,High,Low
89,95,50,95,94,18,5.97,High,High
36,42,49,94,76,10,7.52,Low,Medium
86,75,55,66,84,16,8.84,Medium,Medium
65,56,97,73,80,20,5.31,High,Medium
74,46,44,90,64,21,7.88,Low,Medium
49,89,43,40,65,27,5.6,High,Medium
94,93,56,71,62,18,5.18,Medium,High
37,64,69,64,98,11,5.26,Medium,Medium
45,99,87,68,84,36,9.17,Low,Medium
43,59,57,46,60,19,5.59,High,Medium
44,92,55,88,70,21,5.23,High,Medium
95,57,92,42,60,38,7.19,High,Medium
61,89,95,59,79,9,9.22,High,High
92,66,54,59,97,31,6.31,Low,Medium
80,51,32,92,84,27,7.11,Medium,Medium
54,97,73,69,71,18,5.2,Low,Medium
87,49,71,74,87,19,7.25,High,Medium
92,97,35,74,80,37,7.89,High,Medium
91,93,68,88,63,35,7.85,Medium,High
51,46,81,78,73,39,6.66,High,Medium
87,41,52,66,99,21,6.58,Low,Medium
87,51,79,65,98,32,5.53,Low,Medium
78,46,72,53,81,23,6.83,Medium,Medium
81,39,48,56,85,27,5.5,Low,Medium
71,94,98,57,81,36,8.83,Low,High
99,51,80,84,64,17,9.83,Low,High
44,79,40,91,92,24,9.85,Low,Medium
83,43,41,68,84,39,9.33,High,Medium
89,93,37,59,52,9,8.0,Low,Low
37,76,53,92,65,13,8.5,Medium,Medium
82,58,70,66,54,33,6.43,Medium,Low
89,65,65,57,70,10,8.15,Low,Medium
34,81,84,43,59,29,7.28,Medium,Low
97,36,38,40,68,35,7.41,Low,Medium
35,58,76,89,74,26,8.79,Medium,Medium
76,40,44,40,53,6,6.41,Medium,Low
84,62,77,97,78,9,6.59,Low,High
69,35,71,65,68,31,9.62,Low,Medium
81,61,89,84,92,29,5.28,High,High
45,80,99,59,51,12,7.43,Low,Low
42,87,41,91,59,5,9.56,Low,Low
59,55,31,62,92,24,8.05,High,Medium
48,75,36,49,74,27,7.73,Low,Medium
46,58,32,98,69,36,6.25,Low,Medium
92,33,32,50,97,15,6.72,High,Medium
48,42,56,80,68,28,9.26,Low,Medium
87,68,69,80,72,15,7.8,Low,High
84,44,62,44,73,33,7.57,High,Medium
91,58,30,97,60,30,5.5,High,Medium
52,58,37,40,95,20,5.08,Medium,Low
38,61,61,56,83,39,9.82,Low,Medium
41,31,77,61,77,24,6.88,Medium,Medium
30,76,33,73,54,7,8.02,Medium,Low
87,51,99,95,54,5,5.4,High,Low
30,56,48,84,70,5,8.42,Low,Medium
63,96,61,80,61,21,9.66,Low,High
77,85,38,68,99,6,7.88,High,Medium
30,50,41,43,53,33,5.63,Medium,Low
45,76,40,44,98,24,7.91,High,Medium
90,88,75,50,91,10,8.83,Low,High
93,35,45,95,69,12,7.03,High,Medium
92,48,30,90,87,33,9.4,Low,Medium
98,86,92,60,74,37,8.24,Medium,High
51,98,50,74,63,7,9.5,Low,Medium
96,32,59,51,60,39,8.12,Medium,Medium
55,30,42,65,81,9,5.66,Medium,Low
45,87,63,90,60,31,6.55,Low,Medium
80,67,33,58,67,16,6.01,Low,Medium
86,44,57,84,76,24,9.54,Medium,Medium
58,63,88,99,67,24,8.8,High,High
98,90,56,46,72,13,8.38,Low,Medium
76,64,98,86,60,8,6.5,Medium,High
91,93,54,94,70,23,5.92,Medium,High
98,54,32,46,93,31,8.78,High,Medium
45,53,97,65,54,17,7.37,Low,Low
77,41,54,79,72,17,6.13,Medium,Medium
68,47,49,44,90,26,8.08,High,Medium
62,44,63,60,74,32,5.2,Medium,Medium
52,56,55,53,90,26,6.63,Low,Medium
39,89,34,43,59,23,7.34,High,Low
98,75,90,62,71,12,5.74,Medium,High
63,46,38,81,68,12,9.92,High,Medium
81,82,79,59,50,30,6.05,Low,Low
39,37,35,54,56,30,5.65,High,Low
48,56,89,89,53,27,6.02,Low,Low
87,75,73,91,50,17,8.85,Medium,Low
30,79,40,84,64,32,7.13,Low,Medium
98,32,95,68,89,13,7.83,Medium,Medium
33,93,76,47,61,24,5.11,Medium,Medium
45,73,32,80,71,23,5.17,Low,Medium
53,82,59,87,71,16,7.23,Medium,Medium
31,53,50,58,99,19,9.08,High,Low
61,89,57,87,96,35,9.43,Medium,Medium
53,32,91,78,66,18,5.43,Low,Medium
41,49,62,85,78,15,7.69,High,Medium
79,75,64,67,95,30,9.57,High,Medium
64,44,81,85,63,31,6.94,Medium,Medium
62,54,63,96,99,15,9.15,Medium,Medium
62,46,70,66,69,38,5.67,Low,Medium
90,38,80,43,99,23,9.68,High,Medium
80,67,76,97,97,10,8.76,Low,High
72,77,87,54,82,32,9.71,Medium,Medium
41,89,86,74,92,5,8.38,High,Medium
96,92,52,76,64,39,6.82,Low,High
94,31,77,40,61,12,9.69,Low,Medium
62,40,51,42,89,11,6.38,Low,Low
69,93,46,86,69,15,6.66,Low,Medium
72,50,98,63,79,8,8.5,Low,Medium
73,47,40,66,87,29,8.83,High,Medium
58,93,44,79,52,16,9.65,Low,Low
42,67,64,75,77,30,6.02,High,Medium
41,61,62,73,75,16,8.99,Low,Medium
75,40,45,68,79,28,8.69,Medium,Medium
31,74,63,63,62,20,5.32,Medium,Medium
64,62,95,63,62,17,6.94,Low,Medium
37,70,69,81,51,29,6.41,Medium,Low
55,37,57,43,86,8,6.52,High,Low
63,40,76,42,98,15,9.91,Low,Medium
36,80,68,73,87,36,8.21,High,Medium
97,70,99,96,51,11,8.59,Low,Low
87,46,49,88,85,15,9.88,Medium,Medium
58,75,30,62,75,32,6.89,High,Medium
65,61,92,92,60,27,9.01,Medium,High
50,83,96,95,57,27,7.17,Medium,Low
65,49,33,91,93,32,9.35,Low,Medium
39,62,87,62,89,30,5.9,High,Medium
53,69,54,84,92,29,9.74,Medium,Medium
93,61,76,44,71,33,6.09,Low,Medium
78,31,67,70,69,23,6.63,Low,Medium
65,62,44,92,57,37,8.78,Low,Low
53,59,92,80,78,18,6.97,Medium,Medium
52,62,50,96,89,18,8.04,Low,Medium
91,55,86,96,75,39,7.22,High,High
66,51,82,99,79,34,8.71,High,Medium
41,95,75,93,66,32,6.14,Medium,High
84,67,43,45,69,21,5.29,High,Medium
42,75,46,76,65,7,6.5,Low,Medium
52,44,68,96,95,20,7.37,Medium,Medium
59,73,38,49,92,34,5.84,Low,Medium
46,78,35,79,56,33,6.77,Medium,Low
91,90,52,46,65,19,7.0,Medium,Medium
42,96,88,78,94,29,5.29,Low,High
88,35,75,77,96,27,7.92,High,Medium
48,38,67,60,97,29,9.42,High,Medium
78,35,43,59,76,11,5.76,Medium,Medium
41,61,91,42,72,26,7.99,Low,Medium
90,70,64,90,73,21,8.32,Low,High
48,37,48,61,58,22,7.1,Medium,Low
38,79,59,86,84,14,8.51,High,Medium
57,91,54,43,69,14,7.05,Low,Medium
81,91,69,67,86,11,7.52,High,High
45,36,43,51,91,31,5.04,High,Low
98,33,55,77,66,37,8.46,Medium,Medium
41,35,51,90,96,5,8.31,Medium,Medium
54,87,77,75,80,38,5.19,High,Medium
81,51,80,86,57,8,6.84,Low,Low
82,55,32,80,64,21,9.9,Low,Medium
52,32,71,44,80,8,7.1,Medium,Low
45,70,48,52,79,30,7.51,High,Medium
86,89,57,62,95,8,9.55,Low,Medium
68,43,74,97,69,5,8.59,Low,Medium
82,41,92,89,88,11,7.91,Medium,High
71,41,48,69,61,34,8.99,High,Medium
87,42,76,76,98,13,9.32,Low,Medium
68,54,43,64,66,39,7.28,Medium,Medium
43,74,67,87,91,12,7.38,Low,Medium
34,48,82,66,79,28,6.93,Low,Medium
64,84,90,90,78,23,9.83,Low,High
47,74,65,53,68,31,8.49,Medium,Medium
38,37,69,96,95,36,5.42,High,Medium
87,82,59,87,60,18,9.31,Medium,High
46,84,38,98,83,22,7.4,High,Medium
36,61,93,86,99,32,5.34,Low,Medium
75,80,62,93,56,33,7.75,High,Low
42,73,81,75,93,20,7.09,Low,Medium
69,99,43,78,83,39,9.39,Low,Medium
71,47,82,55,69,35,6.02,Medium,Medium
38,51,88,95,99,8,9.13,Low,Medium
79,66,70,61,87,21,7.79,Medium,Medium
56,85,97,60,73,30,5.27,High,Medium
95,88,97,93,59,8,9.86,High,Low
34,32,37,60,81,34,7.56,Low,Low
58,57,31,47,64,34,6.45,Medium,Low
66,64,70,88,86,26,7.35,Low,Medium
67,90,84,55,69,15,9.29,Medium,Medium
37,83,45,98,52,6,6.52,Medium,Low
94,92,91,94,86,16,5.96,Medium,High
46,36,77,70,89,34,5.65,High,Medium
74,78,59,81,57,22,6.49,Medium,Low
33,60,41,49,89,30,8.9,High,Low
65,87,64,71,93,11,7.36,Medium,Medium
99,90,40,98,72,5,6.14,High,High
60,53,93,73,89,30,5.83,High,Medium
48,49,79,48,60,27,6.66,High,Medium
90,66,50,56,95,30,9.7,Low,Medium
83,33,98,50,57,10,6.72,Medium,Low
68,49,77,71,78,10,9.94,Low,Medium
48,89,49,49,79,12,7.43,Medium,Medium
68,53,96,61,59,28,5.9,Medium,Low
96,79,73,96,88,26,9.46,Low,High
74,78,62,56,77,23,7.3,High,Medium
42,80,90,43,98,22,8.55,Medium,Medium
87,65,38,87,85,35,9.92,High,Medium
49,95,97,91,62,34,5.25,Low,High
90,63,64,86,81,37,5.48,High,High
68,65,94,64,85,14,8.6,Medium,Medium
30,35,37,98,86,16,6.41,Medium,Medium
32,68,74,60,75,34,5.92,Medium,Medium
91,71,76,76,71,31,5.2,Low,High
92,87,69,77,53,13,5.11,Medium,Low
54,41,83,88,80,25,8.87,Low,Medium
85,32,75,40,67,16,5.67,High,Medium
62,47,76,64,87,33,7.34,Medium,Medium
67,69,44,90,73,37,8.03,Medium,Medium
35,50,48,75,72,19,7.14,Medium,Medium
87,44,55,56,71,6,5.14,High,Medium
73,55,81,80,51,22,8.92,Medium,Low
74,37,51,63,80,7,5.05,Low,Medium
61,71,50,41,60,11,8.81,High,Medium
74,73,80,79,77,22,9.47,High,High
90,43,67,54,95,37,7.16,High,Medium
76,31,49,71,81,35,7.68,High,Medium
50,66,58,78,54,15,7.38,High,Low
65,98,80,98,87,8,6.95,Low,High
48,67,33,45,59,22,9.44,High,Low
49,70,84,40,89,8,9.47,Medium,Medium
86,91,57,86,95,38,6.68,High,High
47,89,33,62,73,33,8.08,High,Medium
76,43,51,97,84,28,9.63,High,Medium
78,31,74,78,93,26,9.81,High,Medium
43,99,96,96,97,6,7.54,High,High
44,46,95,56,72,10,7.26,Low,Medium
60,57,63,73,66,29,6.39,Low,Medium
30,95,84,98,50,25,9.79,High,Low
83,64,30,80,80,20,5.71,Low,Medium
32,34,67,68,80,35,7.9,Medium,Medium
45,94,35,48,91,18,6.41,High,Medium
86,69,54,52,91,32,6.4,Medium,Medium
41,85,46,45,83,36,7.02,Medium,Medium
45,65,90,45,58,32,9.99,High,Low
53,74,41,59,71,13,5.27,Medium,Medium
57,52,35,91,62,26,7.89,Medium,Medium
37,76,56,92,74,36,5.41,Medium,Medium
65,60,37,42,97,9,5.77,High,Medium
37,40,94,56,67,27,7.2,High,Medium
87,39,86,88,61,9,7.55,Medium,High
89,96,69,51,89,36,6.29,High,High
79,43,43,87,66,14,6.58,High,Medium
57,39,64,86,64,19,5.43,Medium,Medium
70,30,77,84,91,11,6.52,High,Medium
93,34,85,94,64,33,9.83,Low,High
56,49,78,40,64,7,9.72,High,Medium
92,37,42,56,88,23,6.67,Low,Medium
46,72,90,42,62,14,7.85,Medium,Medium
62,30,78,65,66,32,9.55,High,Medium
58,86,75,54,81,33,5.03,Medium,Medium
42,93,91,75,58,19,9.05,Medium,Low
75,57,37,71,89,39,9.74,Medium,Medium
64,66,72,71,69,10,5.46,Medium,Medium
35,76,49,43,75,16,5.81,Medium,Medium
98,66,68,57,76,17,9.8,High,Medium
76,78,78,88,70,33,7.69,Low,High
54,73,93,58,67,23,5.07,High,Medium
95,85,91,82,62,7,6.29,High,High
39,57,83,91,65,12,7.25,High,Medium
85,35,38,74,58,12,8.46,High,Low
59,90,66,79,61,24,8.67,Low,Medium
34,49,78,53,93,8,9.98,High,Medium
62,31,70,97,87,25,6.44,Medium,Medium
94,66,46,72,68,7,7.69,High,Medium
47,49,50,53,56,12,7.67,High,Low
78,55,80,73,84,27,7.03,Low,Medium
40,58,88,94,97,20,5.85,Low,Medium
55,30,68,43,67,17,9.89,Medium,Low
92,64,84,63,65,7,9.27,High,High
88,99,70,98,88,13,7.49,High,High
56,88,68,68,53,18,8.02,High,Low
78,98,42,58,74,17,6.14,Medium,Medium
62,62,93,45,81,11,7.72,Low,Medium
30,80,40,96,89,19,8.47,Medium,Medium
50,41,48,72,62,11,7.58,High,Medium
84,49,40,88,94,38,9.95,Low,Medium
35,82,75,79,66,26,8.06,Low,Medium
98,72,74,58,98,28,6.85,Medium,High
34,79,30,92,86,5,8.86,Low,Medium
32,58,69,40,55,14,5.85,Low,Low
82,86,48,44,68,20,6.92,High,Medium
52,68,90,66,62,12,6.73,High,Medium
82,85,41,55,75,29,7.16,Low,Medium
66,72,90,45,63,16,8.91,Low,Medium
46,79,62,79,80,29,7.42,Medium,Medium
30,52,74,52,53,21,8.97,Medium,Low
80,73,98,87,88,30,7.88,Low,High
74,67,37,74,57,18,6.71,High,Low
33,52,54,58,74,27,9.05,Low,Low
91,74,75,51,62,10,6.19,Low,Medium
94,81,59,55,81,9,6.12,High,Medium
61,79,76,98,87,29,7.52,High,High
63,37,78,82,87,22,6.3,Medium,Medium
68,30,76,49,77,17,5.05,Medium,Medium
55,37,47,64,79,18,8.24,Medium,Medium
63,58,95,59,52,32,7.56,Medium,Low
83,34,97,70,77,22,7.23,High,Medium
32,76,62,43,52,32,9.83,Low,Low
79,63,65,83,94,31,7.86,Medium,Medium
41,94,48,62,83,36,9.32,Medium,Medium
94,84,57,41,65,13,5.7,High,Medium
83,72,69,95,71,36,7.85,High,High
34,59,44,61,81,24,9.34,Low,Low
86,46,70,90,87,32,7.92,Low,Medium
46,55,68,96,57,37,8.59,High,Low
76,37,31,76,57,8,6.86,Medium,Low
52,76,92,47,55,38,5.46,Medium,Low
43,75,58,46,63,7,7.29,Medium,Medium
95,97,95,53,81,30,6.97,Low,High
80,62,80,95,84,12,9.34,Medium,High
67,30,39,94,59,10,6.22,Medium,Low
93,48,43,42,52,20,9.83,High,Low
67,60,80,89,61,28,9.79,Medium,Medium
